,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
0,0.01,0.0002,0.01,100,0.2666666805744171,16.640599012374878
1,0.01,0.0002,0.01,500,0.2666666805744171,7.320611238479614
2,0.01,0.0002,0.01,2500,0.2666666805744171,5.71615743637085
3,0.01,0.0002,0.1,100,0.5666666626930237,16.996606588363647
4,0.01,0.0002,0.1,500,0.2666666805744171,7.620527505874634
5,0.01,0.0002,0.1,2500,0.5333333611488342,5.639169692993164
6,0.01,0.0002,1.0,100,0.5333333611488342,16.044791221618652
7,0.01,0.0002,1.0,500,0.2666666805744171,7.368609189987183
8,0.01,0.0002,1.0,2500,0.2666666805744171,5.658163785934448
9,0.01,0.0002,10.0,100,0.800000011920929,16.121766090393066
10,0.01,0.0002,10.0,500,0.2666666805744171,7.36559534072876
11,0.01,0.0002,10.0,2500,0.5333333611488342,5.547213554382324
12,0.01,0.0008,0.01,100,0.2666666805744171,16.239728212356567
13,0.01,0.0008,0.01,500,0.2666666805744171,7.422591924667358
14,0.01,0.0008,0.01,2500,0.2666666805744171,5.6821417808532715
15,0.01,0.0008,0.1,100,0.6333333253860474,15.743903636932373
16,0.01,0.0008,0.1,500,0.9666666388511658,7.5375542640686035
17,0.01,0.0008,0.1,2500,0.2666666805744171,5.711137294769287
18,0.01,0.0008,1.0,100,0.9333333373069763,16.27772545814514
19,0.01,0.0008,1.0,500,0.9666666388511658,7.340617418289185
20,0.01,0.0008,1.0,2500,0.2666666805744171,5.645167589187622
21,0.01,0.0008,10.0,100,0.9666666388511658,16.01280379295349
22,0.01,0.0008,10.0,500,0.9666666388511658,7.330611228942871
23,0.01,0.0008,10.0,2500,0.5333333611488342,5.533198595046997
24,0.01,0.0032,0.01,100,0.2666666805744171,16.269735097885132
25,0.01,0.0032,0.01,500,0.2666666805744171,7.397588491439819
26,0.01,0.0032,0.01,2500,0.2666666805744171,5.630183219909668
27,0.01,0.0032,0.1,100,0.699999988079071,16.17374563217163
28,0.01,0.0032,0.1,500,0.5333333611488342,7.584527969360352
29,0.01,0.0032,0.1,2500,0.2666666805744171,5.558211088180542
30,0.01,0.0032,1.0,100,0.9333333373069763,17.801222324371338
31,0.01,0.0032,1.0,500,0.6333333253860474,8.81011700630188
