,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
0,0.01,0.0002,0.01,100,0.46666666865348816,8.07937741279602
1,0.01,0.0002,0.01,500,0.46666666865348816,7.283534049987793
2,0.01,0.0002,0.01,2500,0.2666666805744171,5.555197238922119
3,0.01,0.0002,0.1,100,0.2666666805744171,7.278637886047363
4,0.01,0.0002,0.1,500,0.46666666865348816,16.31170678138733
5,0.01,0.0002,0.1,2500,0.2666666805744171,5.43923282623291
6,0.01,0.0002,1.0,100,0.46666666865348816,7.243978023529053
7,0.01,0.0002,1.0,500,0.2666666805744171,16.332698345184326
8,0.01,0.0002,1.0,2500,0.2666666805744171,5.3892502784729
9,0.01,0.0002,10.0,100,0.2666666805744171,7.250646591186523
10,0.01,0.0002,10.0,500,0.2666666805744171,16.732548236846924
11,0.01,0.0002,10.0,2500,0.2666666805744171,5.331252098083496
12,0.01,0.0008,0.01,100,0.2666666805744171,6.996729135513306
13,0.01,0.0008,0.01,500,0.2666666805744171,16.075157642364502
14,0.01,0.0008,0.01,2500,0.2666666805744171,5.420247554779053
15,0.01,0.0008,0.1,100,0.5333333611488342,7.801442623138428
16,0.01,0.0008,0.1,500,0.2666666805744171,16.144524812698364
17,0.01,0.0008,0.1,2500,0.46666666865348816,5.522190093994141
18,0.01,0.0008,1.0,100,0.46666666865348816,6.896761894226074
19,0.01,0.0008,1.0,500,0.5333333611488342,15.874847650527954
20,0.01,0.0008,1.0,2500,0.2666666805744171,5.501213550567627
21,0.01,0.0008,10.0,100,0.2666666805744171,7.051600217819214
22,0.01,0.0008,10.0,500,0.2666666805744171,15.878846406936646
23,0.01,0.0008,10.0,2500,0.2666666805744171,5.28162145614624
24,0.01,0.0032,0.01,100,0.2666666805744171,7.145681858062744
25,0.01,0.0032,0.01,500,0.2666666805744171,16.193336009979248
26,0.01,0.0032,0.01,2500,0.5333333611488342,5.475223064422607
27,0.01,0.0032,0.1,100,0.46666666865348816,7.299630880355835
28,0.01,0.0032,0.1,500,0.5333333611488342,16.147759675979614
29,0.01,0.0032,0.1,2500,0.2666666805744171,5.507211923599243
30,0.01,0.0032,1.0,100,0.2666666805744171,7.21865701675415
31,0.01,0.0032,1.0,500,0.5333333611488342,16.28890609741211
32,0.01,0.0032,1.0,2500,0.46666666865348816,5.697150230407715
33,0.01,0.0032,10.0,100,0.5333333611488342,7.331621885299683
34,0.01,0.0032,10.0,500,0.2666666805744171,16.292710781097412
35,0.01,0.0032,10.0,2500,0.2666666805744171,5.50806450843811
36,0.01,0.0128,0.01,100,0.2666666805744171,6.963740348815918
37,0.01,0.0128,0.01,500,0.2666666805744171,16.27971577644348
38,0.01,0.0128,0.01,2500,0.2666666805744171,5.408244371414185
39,0.01,0.0128,0.1,100,0.5333333611488342,7.2496654987335205
40,0.01,0.0128,0.1,500,0.9333333373069763,16.45266342163086
41,0.01,0.0128,0.1,2500,0.5333333611488342,5.381901741027832
42,0.01,0.0128,1.0,100,0.5333333611488342,7.333619117736816
43,0.01,0.0128,1.0,500,0.8666666746139526,16.328700065612793
44,0.01,0.0128,1.0,2500,0.2666666805744171,5.436235666275024
45,0.01,0.0128,10.0,100,0.2666666805744171,7.221656084060669
46,0.01,0.0128,10.0,500,0.2666666805744171,16.980738401412964
47,0.01,0.0128,10.0,2500,0.2666666805744171,5.4892942905426025
48,0.01,0.0512,0.01,100,0.2666666805744171,7.230668544769287
49,0.01,0.0512,0.01,500,0.2666666805744171,16.44654631614685
50,0.01,0.0512,0.01,2500,0.699999988079071,5.631202936172485
51,0.01,0.0512,0.1,100,0.9666666388511658,7.137665748596191
52,0.01,0.0512,0.1,500,0.9666666388511658,16.130764722824097
53,0.01,0.0512,0.1,2500,0.5333333611488342,5.515209674835205
54,0.01,0.0512,1.0,100,0.9666666388511658,7.035723686218262
55,0.01,0.0512,1.0,500,0.9333333373069763,16.17004418373108
56,0.01,0.0512,1.0,2500,0.2666666805744171,5.488217830657959
57,0.01,0.0512,10.0,100,0.2666666805744171,7.122820138931274
58,0.01,0.0512,10.0,500,0.2666666805744171,16.01380228996277
59,0.01,0.0512,10.0,2500,0.2666666805744171,5.2783026695251465
60,0.01,0.2048,0.01,100,0.2666666805744171,7.211644411087036
61,0.01,0.2048,0.01,500,0.2666666805744171,15.933828353881836
62,0.01,0.2048,0.01,2500,0.9666666388511658,5.354262590408325
63,0.01,0.2048,0.1,100,0.9666666388511658,7.478571653366089
64,0.01,0.2048,0.1,500,0.9333333373069763,16.215754508972168
65,0.01,0.2048,0.1,2500,0.9333333373069763,5.453213453292847
66,0.01,0.2048,1.0,100,0.9666666388511658,7.293634414672852
67,0.01,0.2048,1.0,500,0.9333333373069763,16.180745601654053
68,0.01,0.2048,1.0,2500,0.2666666805744171,5.540219783782959
69,0.01,0.2048,10.0,100,0.2666666805744171,7.194653511047363
70,0.01,0.2048,10.0,500,0.2666666805744171,15.935821294784546
71,0.01,0.2048,10.0,2500,0.2666666805744171,5.359275817871094
72,0.05,0.0002,0.01,100,0.2666666805744171,7.195649147033691
73,0.05,0.0002,0.01,500,0.2666666805744171,15.747889757156372
74,0.05,0.0002,0.01,2500,0.46666666865348816,5.434234619140625
75,0.05,0.0002,0.1,100,0.2666666805744171,7.308639049530029
76,0.05,0.0002,0.1,500,0.2666666805744171,17.592405557632446
77,0.05,0.0002,0.1,2500,0.46666666865348816,7.04474663734436
78,0.05,0.0002,1.0,100,0.2666666805744171,8.169348955154419
