,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
0,0.01,0.0002,0.01,100,0.2666666805744171,5.905107736587524
1,0.01,0.0002,0.01,500,0.5333333611488342,8.19260835647583
2,0.01,0.0002,0.01,2500,0.5333333611488342,20.765186071395874
3,0.01,0.0002,0.1,100,0.5,5.36860990524292
4,0.01,0.0002,0.1,500,0.4333333373069763,8.085875034332275
5,0.01,0.0002,0.1,2500,0.699999988079071,17.352715730667114
6,0.01,0.0002,1.0,100,0.2666666805744171,5.510407209396362
7,0.01,0.0002,1.0,500,0.46666666865348816,7.494926452636719
8,0.01,0.0002,1.0,2500,0.5,17.508745908737183
9,0.01,0.0002,10.0,100,0.46666666865348816,5.65607476234436
10,0.01,0.0002,10.0,500,0.2666666805744171,7.7007341384887695
11,0.01,0.0002,10.0,2500,0.46666666865348816,18.204841375350952
12,0.01,0.0008,0.01,100,0.0,5.645878553390503
13,0.01,0.0008,0.01,500,0.5333333611488342,7.093714237213135
14,0.01,0.0008,0.01,2500,0.5333333611488342,18.314855813980103
15,0.01,0.0008,0.1,100,0.2666666805744171,5.398938417434692
16,0.01,0.0008,0.1,500,0.5333333611488342,7.3968846797943115
17,0.01,0.0008,0.1,2500,0.5333333611488342,17.690155267715454
18,0.01,0.0008,1.0,100,0.5333333611488342,5.286951780319214
19,0.01,0.0008,1.0,500,0.5333333611488342,7.951715707778931
20,0.01,0.0008,1.0,2500,0.5333333611488342,19.549299001693726
21,0.01,0.0008,10.0,100,0.46666666865348816,5.600188970565796
22,0.01,0.0008,10.0,500,0.2666666805744171,8.01308536529541
23,0.01,0.0008,10.0,2500,0.5333333611488342,21.899152755737305
24,0.01,0.0032,0.01,100,0.5333333611488342,5.493049383163452
25,0.01,0.0032,0.01,500,0.6000000238418579,7.847934007644653
26,0.01,0.0032,0.01,2500,0.9666666388511658,17.943728923797607
27,0.01,0.0032,0.1,100,0.5333333611488342,6.5800111293792725
28,0.01,0.0032,0.1,500,0.5666666626930237,8.002930641174316
29,0.01,0.0032,0.1,2500,0.9666666388511658,21.586617946624756
30,0.01,0.0032,1.0,100,0.30000001192092896,5.581868648529053
