,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
0,0.01,0.0002,0.01,100,0.2666666805744171,5.4967405796051025
1,0.01,0.0002,0.01,500,0.0,7.78868293762207
2,0.01,0.0002,0.01,2500,0.6000000238418579,16.5789213180542
3,0.01,0.0002,0.1,100,0.6666666865348816,5.716150522232056
4,0.01,0.0002,0.1,500,0.0,7.210665464401245
5,0.01,0.0002,0.1,2500,0.2666666805744171,17.168948888778687
6,0.01,0.0002,1.0,100,0.0,6.0850303173065186
7,0.01,0.0002,1.0,500,0.2666666805744171,8.317313432693481
8,0.01,0.0002,1.0,2500,0.2666666805744171,16.45140552520752
9,0.01,0.0002,10.0,100,0.46666666865348816,5.839110612869263
10,0.01,0.0002,10.0,500,0.10000000149011612,7.386608600616455
11,0.01,0.0002,10.0,2500,0.6666666865348816,16.77057147026062
12,0.01,0.0008,0.01,100,0.6000000238418579,5.458385944366455
13,0.01,0.0008,0.01,500,0.4333333373069763,7.598540782928467
14,0.01,0.0008,0.01,2500,0.5333333611488342,16.211751461029053
15,0.01,0.0008,0.1,100,0.03333333507180214,5.778144359588623
16,0.01,0.0008,0.1,500,0.30000001192092896,7.250637769699097
17,0.01,0.0008,0.1,2500,0.4333333373069763,16.64152455329895
18,0.01,0.0008,1.0,100,0.46666666865348816,5.440256834030151
19,0.01,0.0008,1.0,500,0.5333333611488342,7.678497791290283
20,0.01,0.0008,1.0,2500,0.3333333432674408,16.28372859954834
21,0.01,0.0008,10.0,100,0.46666666865348816,5.522212982177734
22,0.01,0.0008,10.0,500,0.2666666805744171,7.622158527374268
23,0.01,0.0008,10.0,2500,0.5333333611488342,16.47265315055847
24,0.01,0.0032,0.01,100,0.5333333611488342,6.017051935195923
25,0.01,0.0032,0.01,500,0.5333333611488342,7.285641431808472
26,0.01,0.0032,0.01,2500,0.9666666388511658,16.655609130859375
27,0.01,0.0032,0.1,100,0.5333333611488342,5.62418007850647
28,0.01,0.0032,0.1,500,0.5333333611488342,8.241739749908447
29,0.01,0.0032,0.1,2500,0.9666666388511658,16.893476247787476
30,0.01,0.0032,1.0,100,0.5333333611488342,5.512215852737427
31,0.01,0.0032,1.0,500,0.5333333611488342,8.039398193359375
32,0.01,0.0032,1.0,2500,0.9666666388511658,16.694594860076904
33,0.01,0.0032,10.0,100,0.5333333611488342,6.02006721496582
34,0.01,0.0032,10.0,500,0.2666666805744171,7.448574066162109
35,0.01,0.0032,10.0,2500,0.2666666805744171,17.811233282089233
36,0.01,0.0128,0.01,100,0.9666666388511658,7.042719602584839
37,0.01,0.0128,0.01,500,0.9666666388511658,7.690511226654053
38,0.01,0.0128,0.01,2500,1.0,16.406548500061035
39,0.01,0.0128,0.1,100,0.8333333134651184,5.922084331512451
40,0.01,0.0128,0.1,500,0.9666666388511658,7.489575386047363
41,0.01,0.0128,0.1,2500,0.9666666388511658,16.600626468658447
42,0.01,0.0128,1.0,100,0.8666666746139526,5.453234910964966
43,0.01,0.0128,1.0,500,0.9666666388511658,7.1636810302734375
44,0.01,0.0128,1.0,2500,0.9666666388511658,16.952242374420166
45,0.01,0.0128,10.0,100,0.2666666805744171,5.541207313537598
46,0.01,0.0128,10.0,500,0.2666666805744171,8.324304819107056
47,0.01,0.0128,10.0,2500,0.5666666626930237,17.20443058013916
48,0.01,0.0512,0.01,100,0.9666666388511658,5.929080486297607
49,0.01,0.0512,0.01,500,0.9666666388511658,7.534576416015625
50,0.01,0.0512,0.01,2500,0.9666666388511658,16.593979597091675
51,0.01,0.0512,0.1,100,0.9666666388511658,5.849108457565308
52,0.01,0.0512,0.1,500,0.9666666388511658,7.3716137409210205
53,0.01,0.0512,0.1,2500,0.9333333373069763,16.263745069503784
54,0.01,0.0512,1.0,100,0.9666666388511658,5.864101409912109
55,0.01,0.0512,1.0,500,1.0,7.327628135681152
56,0.01,0.0512,1.0,2500,0.9333333373069763,16.573635578155518
57,0.01,0.0512,10.0,100,0.2666666805744171,5.473229169845581
58,0.01,0.0512,10.0,500,0.2666666805744171,7.613534212112427
59,0.01,0.0512,10.0,2500,0.5333333611488342,16.27873134613037
60,0.01,0.2048,0.01,100,0.9666666388511658,5.470228910446167
61,0.01,0.2048,0.01,500,0.9666666388511658,7.570549726486206
62,0.01,0.2048,0.01,2500,0.9666666388511658,16.12977910041809
63,0.01,0.2048,0.1,100,0.8666666746139526,5.443238258361816
64,0.01,0.2048,0.1,500,0.9666666388511658,7.595541477203369
65,0.01,0.2048,0.1,2500,0.9666666388511658,16.896602869033813
66,0.01,0.2048,1.0,100,0.5333333611488342,5.93707799911499
67,0.01,0.2048,1.0,500,0.9666666388511658,8.213396072387695
68,0.01,0.2048,1.0,2500,0.9666666388511658,16.64661192893982
69,0.01,0.2048,10.0,100,0.2666666805744171,5.7861268520355225
70,0.01,0.2048,10.0,500,0.2666666805744171,7.301636219024658
71,0.01,0.2048,10.0,2500,0.2666666805744171,15.475992679595947
72,0.05,0.0002,0.01,100,0.46666666865348816,5.881094217300415
73,0.05,0.0002,0.01,500,0.36666667461395264,7.1126978397369385
74,0.05,0.0002,0.01,2500,0.2666666805744171,16.21575164794922
75,0.05,0.0002,0.1,100,0.06666667014360428,5.88509464263916
76,0.05,0.0002,0.1,500,0.1666666716337204,7.178329706192017
77,0.05,0.0002,0.1,2500,0.2666666805744171,16.37269926071167
78,0.05,0.0002,1.0,100,0.2666666805744171,5.834115505218506
79,0.05,0.0002,1.0,500,0.3333333432674408,7.281541585922241
80,0.05,0.0002,1.0,2500,0.5333333611488342,16.513652801513672
81,0.05,0.0002,10.0,100,0.0,5.458233833312988
82,0.05,0.0002,10.0,500,0.2666666805744171,7.268153190612793
83,0.05,0.0002,10.0,2500,0.2666666805744171,16.108962297439575
84,0.05,0.0008,0.01,100,0.46666666865348816,5.797123193740845
85,0.05,0.0008,0.01,500,0.2666666805744171,7.245658874511719
86,0.05,0.0008,0.01,2500,0.5333333611488342,16.30172371864319
87,0.05,0.0008,0.1,100,0.2666666805744171,5.863101482391357
88,0.05,0.0008,0.1,500,0.2666666805744171,7.184675455093384
89,0.05,0.0008,0.1,2500,0.2666666805744171,16.418785095214844
90,0.05,0.0008,1.0,100,0.5666666626930237,5.776134967803955
91,0.05,0.0008,1.0,500,0.1666666716337204,7.3146326541900635
92,0.05,0.0008,1.0,2500,0.2666666805744171,16.89548373222351
93,0.05,0.0008,10.0,100,0.2666666805744171,6.093027114868164
94,0.05,0.0008,10.0,500,0.2666666805744171,7.9924139976501465
95,0.05,0.0008,10.0,2500,0.5333333611488342,17.070618152618408
96,0.05,0.0032,0.01,100,0.7333333492279053,5.7971720695495605
97,0.05,0.0032,0.01,500,0.9333333373069763,7.288957595825195
98,0.05,0.0032,0.01,2500,0.9666666388511658,16.120853185653687
99,0.05,0.0032,0.1,100,0.6000000238418579,5.799022197723389
100,0.05,0.0032,0.1,500,0.8666666746139526,7.204667568206787
101,0.05,0.0032,0.1,2500,0.9666666388511658,16.193758726119995
102,0.05,0.0032,1.0,100,0.4333333373069763,5.840109825134277
103,0.05,0.0032,1.0,500,0.8666666746139526,7.399622201919556
104,0.05,0.0032,1.0,2500,0.9333333373069763,16.680415630340576
105,0.05,0.0032,10.0,100,0.5666666626930237,5.6531689167022705
106,0.05,0.0032,10.0,500,0.2666666805744171,7.776483058929443
107,0.05,0.0032,10.0,2500,0.46666666865348816,16.633615255355835
108,0.05,0.0128,0.01,100,0.9666666388511658,5.662167072296143
109,0.05,0.0128,0.01,500,0.9666666388511658,7.810472011566162
110,0.05,0.0128,0.01,2500,0.9666666388511658,16.512654781341553
111,0.05,0.0128,0.1,100,0.9333333373069763,5.683161497116089
112,0.05,0.0128,0.1,500,0.9666666388511658,7.409606218338013
113,0.05,0.0128,0.1,2500,0.9666666388511658,17.038480281829834
114,0.05,0.0128,1.0,100,0.8333333134651184,5.474226951599121
115,0.05,0.0128,1.0,500,0.9666666388511658,7.375612735748291
116,0.05,0.0128,1.0,2500,0.9333333373069763,16.716589212417603
117,0.05,0.0128,10.0,100,0.5333333611488342,5.659168243408203
118,0.05,0.0128,10.0,500,0.5333333611488342,7.479580879211426
119,0.05,0.0128,10.0,2500,0.46666666865348816,16.821552991867065
120,0.05,0.0512,0.01,100,0.9666666388511658,5.567198276519775
121,0.05,0.0512,0.01,500,0.9333333373069763,7.406603097915649
122,0.05,0.0512,0.01,2500,0.9333333373069763,16.915809154510498
123,0.05,0.0512,0.1,100,0.9333333373069763,5.965078353881836
124,0.05,0.0512,0.1,500,0.9333333373069763,7.485567569732666
125,0.05,0.0512,0.1,2500,0.9666666388511658,18.551313161849976
126,0.05,0.0512,1.0,100,0.9666666388511658,5.727146625518799
127,0.05,0.0512,1.0,500,0.9666666388511658,7.8064796924591064
128,0.05,0.0512,1.0,2500,0.9666666388511658,16.582627296447754
129,0.05,0.0512,10.0,100,0.5333333611488342,5.81136155128479
130,0.05,0.0512,10.0,500,0.5333333611488342,7.442590951919556
131,0.05,0.0512,10.0,2500,0.2666666805744171,16.51773715019226
132,0.05,0.2048,0.01,100,0.7333333492279053,5.493222713470459
133,0.05,0.2048,0.01,500,0.9333333373069763,7.32262921333313
134,0.05,0.2048,0.01,2500,0.9666666388511658,18.177274227142334
135,0.05,0.2048,0.1,100,0.9666666388511658,5.770131826400757
136,0.05,0.2048,0.1,500,0.9666666388511658,7.445590972900391
137,0.05,0.2048,0.1,2500,0.9666666388511658,17.539495944976807
138,0.05,0.2048,1.0,100,0.9666666388511658,6.981628656387329
139,0.05,0.2048,1.0,500,0.9666666388511658,7.775333881378174
140,0.05,0.2048,1.0,2500,0.9666666388511658,17.676865816116333
141,0.05,0.2048,10.0,100,0.2666666805744171,6.042052507400513
142,0.05,0.2048,10.0,500,0.2666666805744171,9.611209154129028
143,0.05,0.2048,10.0,2500,0.5333333611488342,17.282132863998413
144,0.1,0.0002,0.01,100,0.46666666865348816,7.002570867538452
145,0.1,0.0002,0.01,500,0.2666666805744171,8.060460567474365
146,0.1,0.0002,0.01,2500,0.5333333611488342,17.2834050655365
147,0.1,0.0002,0.1,100,0.23333333432674408,7.171781063079834
148,0.1,0.0002,0.1,500,0.2666666805744171,7.569778203964233
149,0.1,0.0002,0.1,2500,0.6333333253860474,18.101364135742188
150,0.1,0.0002,1.0,100,0.5,5.631505727767944
151,0.1,0.0002,1.0,500,0.2666666805744171,9.209278106689453
152,0.1,0.0002,1.0,2500,0.2666666805744171,16.81535530090332
153,0.1,0.0002,10.0,100,0.46666666865348816,8.474205255508423
154,0.1,0.0002,10.0,500,0.46666666865348816,7.688139915466309
155,0.1,0.0002,10.0,2500,0.2666666805744171,16.841979265213013
156,0.1,0.0008,0.01,100,0.2666666805744171,6.180999517440796
157,0.1,0.0008,0.01,500,0.5,7.860210180282593
158,0.1,0.0008,0.01,2500,0.5333333611488342,17.86901021003723
159,0.1,0.0008,0.1,100,0.20000000298023224,8.527269840240479
160,0.1,0.0008,0.1,500,0.46666666865348816,8.332304239273071
161,0.1,0.0008,0.1,2500,0.5333333611488342,16.8245530128479
162,0.1,0.0008,1.0,100,0.2666666805744171,5.7781291007995605
163,0.1,0.0008,1.0,500,0.30000001192092896,8.609214544296265
164,0.1,0.0008,1.0,2500,0.6666666865348816,17.712063550949097
165,0.1,0.0008,10.0,100,0.2666666805744171,6.654692888259888
166,0.1,0.0008,10.0,500,0.2666666805744171,8.286231517791748
167,0.1,0.0008,10.0,2500,0.5333333611488342,18.156933784484863
168,0.1,0.0032,0.01,100,0.800000011920929,8.945614337921143
169,0.1,0.0032,0.01,500,0.5333333611488342,8.407279968261719
170,0.1,0.0032,0.01,2500,0.9333333373069763,16.717145442962646
171,0.1,0.0032,0.1,100,0.3333333432674408,7.380464792251587
172,0.1,0.0032,0.1,500,0.5666666626930237,8.000410079956055
173,0.1,0.0032,0.1,2500,0.8333333134651184,16.848122119903564
174,0.1,0.0032,1.0,100,0.6000000238418579,6.531885385513306
175,0.1,0.0032,1.0,500,0.5333333611488342,8.326449632644653
176,0.1,0.0032,1.0,2500,0.9333333373069763,16.596662759780884
177,0.1,0.0032,10.0,100,0.2666666805744171,5.662249803543091
178,0.1,0.0032,10.0,500,0.6000000238418579,7.454719305038452
179,0.1,0.0032,10.0,2500,0.5333333611488342,16.345964431762695
180,0.1,0.0128,0.01,100,0.8333333134651184,5.694156646728516
181,0.1,0.0128,0.01,500,0.9666666388511658,7.752490758895874
182,0.1,0.0128,0.01,2500,0.9666666388511658,17.108300924301147
183,0.1,0.0128,0.1,100,0.6000000238418579,6.515718460083008
184,0.1,0.0128,0.1,500,0.9666666388511658,7.484577178955078
185,0.1,0.0128,0.1,2500,0.9666666388511658,16.28073024749756
186,0.1,0.0128,1.0,100,0.9666666388511658,6.281659126281738
